Sales;Date
223008,00;01/12/2013
15180,00;01/12/2013
10262,07;01/12/2013
91182,00;01/12/2013
3341,52;01/12/2013
166725,00;01/12/2013
215550,00;01/12/2013
589050,00;01/12/2013
313104,00;01/12/2013
5016,00;01/12/2013
18478,80;01/12/2013
20794,80;01/12/2013
303257,50;01/12/2013
385581,00;01/12/2013
259037,50;01/12/2013
32370,00;01/01/2014
26420,00;01/01/2014
10451,00;01/01/2014
27338,85;01/01/2014
708439,50;01/01/2014
28855,56;01/01/2014
28566,72;01/01/2014
9123,80;01/01/2014
460346,25;01/01/2014
7908,75;01/01/2014
40769,25;01/01/2014
21009,00;01/01/2014
233531,25;01/01/2014
26114,40;01/01/2014
36208,62;01/01/2014
700245,00;01/01/2014
769814,50;01/01/2014
21359,52;01/01/2014
9193,50;01/01/2014
65137,50;01/01/2014
5126,40;01/01/2014
238609,00;01/01/2014
233091,00;01/01/2014
18519,12;01/01/2014
61632,50;01/01/2014
352106,25;01/01/2014
46796,20;01/01/2014
922680,00;01/01/2014
44378,40;01/01/2014
299171,25;01/01/2014
8760,47;01/01/2014
210627,00;01/01/2014
52167,38;01/01/2014
180416,25;01/01/2014
670477,50;01/01/2014
5840,00;01/02/2014
14610,00;01/02/2014
225500,00;01/02/2014
600300,00;01/02/2014
962500,00;01/02/2014
34095,60;01/02/2014
22073,04;01/02/2014
22482,90;01/02/2014
34736,10;01/02/2014
13294,82;01/02/2014
827604,00;01/02/2014
626640,00;01/02/2014
21261,00;01/02/2014
12722,40;01/02/2014
24757,00;01/02/2014
95831,25;01/02/2014
448875,00;01/02/2014
111860,00;01/02/2014
323712,50;01/02/2014
8113,32;01/02/2014
267561,00;01/02/2014
766413,00;01/02/2014
3142,72;01/02/2014
725907,00;01/02/2014
705600,00;01/02/2014
20687,16;01/02/2014
83160,00;01/02/2014
7904,82;01/02/2014
45953,40;01/02/2014
47119,20;01/02/2014
1763,86;01/02/2014
3586,20;01/02/2014
4472,00;01/02/2014
169312,50;01/02/2014
8139,60;01/02/2014
13815,00;01/03/2014
25932,00;01/03/2014
9189,18;01/03/2014
419265,00;01/03/2014
32877,90;01/03/2014
1822,59;01/03/2014
76146,00;01/03/2014
323694,00;01/03/2014
215097,50;01/03/2014
28324,80;01/03/2014
95400,00;01/03/2014
16876,80;01/03/2014
355300,00;01/03/2014
283218,75;01/03/2014
573205,50;01/03/2014
34513,80;01/03/2014
128110,00;01/03/2014
6601,92;01/03/2014
17708,60;01/03/2014
21479,64;01/03/2014
35172,00;01/03/2014
808110,00;01/03/2014
9837,17;01/03/2014
246708,00;01/03/2014
19971,60;01/03/2014
8936,40;01/03/2014
9184,56;01/03/2014
281053,50;01/03/2014
545055,00;01/03/2014
41761,60;01/03/2014
17476,06;01/03/2014
229104,00;01/03/2014
19686,00;01/03/2014
5100,00;01/03/2014
631125,00;01/03/2014
34056,00;01/04/2014
23436,00;01/04/2014
527437,50;01/04/2014
683397,00;01/04/2014
31133,03;01/04/2014
76507,20;01/04/2014
326922,75;01/04/2014
90956,25;01/04/2014
514524,38;01/04/2014
50052,00;01/04/2014
22302,24;01/04/2014
74699,70;01/04/2014
407376,00;01/04/2014
128880,00;01/04/2014
457995,00;01/04/2014
53594,10;01/04/2014
322420,00;01/04/2014
19401,66;01/04/2014
8107,96;01/04/2014
184989,00;01/04/2014
1038082,50;01/04/2014
50163,75;01/04/2014
430452,75;01/04/2014
35872,20;01/04/2014
387618,75;01/04/2014
6885,00;01/04/2014
38021,40;01/04/2014
15774,36;01/04/2014
468072,00;01/04/2014
44358,80;01/04/2014
360899,00;01/04/2014
10423,20;01/04/2014
20578,50;01/04/2014
15083,25;01/04/2014
4301,85;01/04/2014
7137,90;01/05/2014
2508,66;01/05/2014
269892,00;01/05/2014
508032,00;01/05/2014
278810,00;01/05/2014
16121,40;01/05/2014
840384,00;01/05/2014
9976,32;01/05/2014
29697,00;01/05/2014
15474,55;01/05/2014
480340,00;01/05/2014
21573,00;01/05/2014
17604,90;01/05/2014
474858,00;01/05/2014
191231,25;01/05/2014
1655,08;01/05/2014
7051,80;01/05/2014
530621,00;01/05/2014
3344,25;01/05/2014
9609,60;01/05/2014
12066,60;01/05/2014
728595,00;01/05/2014
159570,00;01/05/2014
10665,00;01/05/2014
38362,50;01/05/2014
36702,00;01/05/2014
159421,25;01/05/2014
22271,04;01/05/2014
28100,16;01/05/2014
29979,60;01/05/2014
60200,00;01/05/2014
305730,00;01/05/2014
848172,50;01/05/2014
36031,50;01/05/2014
18421,20;01/05/2014
32670,00;01/06/2014
13320,00;01/06/2014
37050,00;01/06/2014
30216,00;01/06/2014
37980,00;01/06/2014
18540,00;01/06/2014
37050,00;01/06/2014
30216,00;01/06/2014
352100,00;01/06/2014
352100,00;01/06/2014
18540,00;01/06/2014
32670,00;01/06/2014
13320,00;01/06/2014
37980,00;01/06/2014
89966,25;01/06/2014
97391,25;01/06/2014
89966,25;01/06/2014
97391,25;01/06/2014
13429,92;01/06/2014
13429,92;01/06/2014
81095,00;01/06/2014
81095,00;01/06/2014
200499,00;01/06/2014
22127,64;01/06/2014
22127,64;01/06/2014
200499,00;01/06/2014
190362,50;01/06/2014
190362,50;01/06/2014
282435,00;01/06/2014
282435,00;01/06/2014
200165,00;01/06/2014
200165,00;01/06/2014
40100,40;01/06/2014
492184,00;01/06/2014
492184,00;01/06/2014
9856,84;01/06/2014
40100,40;01/06/2014
9856,84;01/06/2014
7388,85;01/06/2014
7388,85;01/06/2014
124992,00;01/06/2014
124992,00;01/06/2014
23588,80;01/06/2014
23588,80;01/06/2014
13027,20;01/06/2014
25134,40;01/06/2014
678960,00;01/06/2014
18721,08;01/06/2014
15056,72;01/06/2014
15056,72;01/06/2014
13027,20;01/06/2014
18721,08;01/06/2014
25134,40;01/06/2014
678960,00;01/06/2014
298662,00;01/06/2014
298662,00;01/06/2014
18891,60;01/06/2014
18891,60;01/06/2014
272888,00;01/06/2014
272888,00;01/06/2014
33499,35;01/06/2014
33499,35;01/06/2014
6305,76;01/06/2014
801444,00;01/06/2014
172151,25;01/06/2014
801444,00;01/06/2014
7247,10;01/06/2014
6305,76;01/06/2014
172151,25;01/06/2014
7247,10;01/06/2014
333187,50;01/07/2014
4404,00;01/07/2014
11802,00;01/07/2014
17525,97;01/07/2014
27234,90;01/07/2014
225596,25;01/07/2014
15940,98;01/07/2014
1159200,00;01/07/2014
358560,00;01/07/2014
11191,95;01/07/2014
430706,25;01/07/2014
408386,25;01/07/2014
462861,00;01/07/2014
11868,00;01/07/2014
8031,60;01/07/2014
1035625,50;01/07/2014
416279,50;01/07/2014
5217,03;01/07/2014
22256,33;01/07/2014
201285,00;01/07/2014
8653,50;01/07/2014
42713,33;01/07/2014
750537,00;01/07/2014
655551,75;01/07/2014
42997,68;01/07/2014
25904,34;01/07/2014
429660,00;01/07/2014
51143,40;01/07/2014
21076,44;01/07/2014
39237,00;01/07/2014
5961,24;01/07/2014
206658,00;01/07/2014
634680,00;01/07/2014
14713,50;01/07/2014
6273,00;01/07/2014
287400,00;01/08/2014
6181,00;01/08/2014
352625,00;01/08/2014
25692,00;01/08/2014
12681,90;01/08/2014
114221,25;01/08/2014
545334,00;01/08/2014
557459,00;01/08/2014
535392,00;01/08/2014
12802,20;01/08/2014
53808,00;01/08/2014
30001,00;01/08/2014
183540,00;01/08/2014
30991,80;01/08/2014
24576,30;01/08/2014
18818,80;01/08/2014
21025,44;01/08/2014
29308,95;01/08/2014
11327,40;01/08/2014
177100,00;01/08/2014
431112,00;01/08/2014
4366,32;01/08/2014
10291,12;01/08/2014
122682,00;01/08/2014
135884,00;01/08/2014
884205,00;01/08/2014
27799,20;01/08/2014
42613,20;01/08/2014
26486,40;01/08/2014
16418,64;01/08/2014
655578,00;01/08/2014
25542,00;01/08/2014
124737,50;01/08/2014
293993,75;01/08/2014
32627,25;01/08/2014
15022,00;01/09/2014
37080,00;01/09/2014
645300,00;01/09/2014
17166,60;01/09/2014
31731,48;01/09/2014
11092,95;01/09/2014
292842,00;01/09/2014
22663,08;01/09/2014
3693,76;01/09/2014
3139,20;01/09/2014
39820,80;01/09/2014
20275,20;01/09/2014
640752,00;01/09/2014
37335,00;01/09/2014
6339,36;01/09/2014
552391,00;01/09/2014
28551,00;01/09/2014
242613,75;01/09/2014
936138,00;01/09/2014
35585,60;01/09/2014
55071,20;01/09/2014
588984,00;01/09/2014
64496,25;01/09/2014
240012,50;01/09/2014
509691,00;01/09/2014
659613,50;01/09/2014
17253,60;01/09/2014
14666,40;01/09/2014
179550,00;01/09/2014
116640,00;01/09/2014
222705,00;01/09/2014
14907,20;01/09/2014
22794,30;01/09/2014
2335,76;01/09/2014
70443,75;01/09/2014
8001,00;01/10/2014
8001,00;01/10/2014
484060,50;01/10/2014
484060,50;01/10/2014
15229,20;01/10/2014
30693,60;01/10/2014
15229,20;01/10/2014
30693,60;01/10/2014
986811,00;01/10/2014
986811,00;01/10/2014
243591,25;01/10/2014
243591,25;01/10/2014
29246,40;01/10/2014
29246,40;01/10/2014
582048,00;01/10/2014
582048,00;01/10/2014
731472,00;01/10/2014
731472,00;01/10/2014
17881,85;01/10/2014
17881,85;01/10/2014
102243,75;01/10/2014
102243,75;01/10/2014
16257,30;01/10/2014
16257,30;01/10/2014
608499,00;01/10/2014
36753,60;01/10/2014
608499,00;01/10/2014
36753,60;01/10/2014
16748,55;01/10/2014
404176,50;01/10/2014
16748,55;01/10/2014
404176,50;01/10/2014
2293,20;01/10/2014
2293,20;01/10/2014
4338,00;01/10/2014
4338,00;01/10/2014
5040,96;01/10/2014
5040,96;01/10/2014
271561,25;01/10/2014
271561,25;01/10/2014
237160,00;01/10/2014
16841,44;01/10/2014
237160,00;01/10/2014
15928,00;01/10/2014
303688,00;01/10/2014
15928,00;01/10/2014
303688,00;01/10/2014
16841,44;01/10/2014
21732,60;01/10/2014
20423,25;01/10/2014
21732,60;01/10/2014
4280,40;01/10/2014
20423,25;01/10/2014
4280,40;01/10/2014
14375,76;01/10/2014
14375,76;01/10/2014
385968,00;01/10/2014
260580,00;01/10/2014
30072,48;01/10/2014
10420,62;01/10/2014
385968,00;01/10/2014
260580,00;01/10/2014
30072,48;01/10/2014
10420,62;01/10/2014
115281,25;01/10/2014
139230,00;01/10/2014
115281,25;01/10/2014
14981,25;01/10/2014
14981,25;01/10/2014
139230,00;01/10/2014
4428,27;01/11/2014
862785,00;01/11/2014
215820,00;01/11/2014
8114,40;01/11/2014
24225,60;01/11/2014
18443,60;01/11/2014
39771,75;01/11/2014
26698,80;01/11/2014
28623,00;01/11/2014
30715,44;01/11/2014
8771,14;01/11/2014
26136,72;01/11/2014
3560,97;01/11/2014
20794,80;01/11/2014
6762,00;01/11/2014
27968,00;01/11/2014
25345,32;01/11/2014
361452,00;01/11/2014
99758,75;01/11/2014
30830,80;01/11/2014
16789,50;01/11/2014
284512,50;01/11/2014
364722,00;01/11/2014
11263,84;01/11/2014
35494,80;01/11/2014
490952,00;01/11/2014
358776,00;01/11/2014
567600,00;01/11/2014
368676,00;01/11/2014
262570,00;01/11/2014
108706,50;01/11/2014
19517,70;01/11/2014
210700,00;01/11/2014
354277,00;01/11/2014
58650,00;01/11/2014
529550,00;01/12/2014
9225,00;01/12/2014
36340,00;01/12/2014
529550,00;01/12/2014
36340,00;01/12/2014
9225,00;01/12/2014
746707,50;01/12/2014
746707,50;01/12/2014
978236,00;01/12/2014
563304,00;01/12/2014
978236,00;01/12/2014
334302,50;01/12/2014
12406,80;01/12/2014
12747,84;01/12/2014
12406,80;01/12/2014
12747,84;01/12/2014
334302,50;01/12/2014
563304,00;01/12/2014
156048,75;01/12/2014
206852,50;01/12/2014
156048,75;01/12/2014
206852,50;01/12/2014
92064,00;01/12/2014
136560,00;01/12/2014
92064,00;01/12/2014
136560,00;01/12/2014
27713,40;01/12/2014
27713,40;01/12/2014
3790,50;01/12/2014
16538,55;01/12/2014
50597,00;01/12/2014
356250,00;01/12/2014
50597,00;01/12/2014
3790,50;01/12/2014
16538,55;01/12/2014
356250,00;01/12/2014
10298,82;01/12/2014
10298,82;01/12/2014
382788,00;01/12/2014
382788,00;01/12/2014
438564,00;01/12/2014
9811,80;01/12/2014
438564,00;01/12/2014
175260,00;01/12/2014
9811,80;01/12/2014
175260,00;01/12/2014
318158,75;01/12/2014
318158,75;01/12/2014
3318,77;01/12/2014
3318,77;01/12/2014
27972,00;01/12/2014
230310,00;01/12/2014
27972,00;01/12/2014
230310,00;01/12/2014
28795,95;01/12/2014
28795,95;01/12/2014
21700,80;01/12/2014
21700,80;01/12/2014
26945,60;01/12/2014
26945,60;01/12/2014
10575,72;01/12/2014
10575,72;01/12/2014
1685,60;01/12/2014
1685,60;01/12/2014
29670,00;01/12/2014
29670,00;01/12/2014
9322,80;01/12/2014
4981,00;01/12/2014
9322,80;01/12/2014
4981,00;01/12/2014
